蝙蝠侠：黑暗骑士,剧情动作科幻惊悚犯罪,2008-07-18
迁徙的鸟,纪录片,2001-12-12
泰坦尼克号,剧情爱情灾难,1998-04-03
初恋这件小事,喜剧爱情,2012-06-05
爱·回家,剧情家庭,2002-04-05
射雕英雄传之东成西就,喜剧奇幻武侠古装,1993-02-05
阿飞正传,剧情爱情犯罪,2018-06-25
勇敢的心,剧情动作传记历史战争,1995-05-24
钢琴家,剧情音乐传记历史战争,2002-09-25
活着,剧情家庭历史,1994-06-30
